Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
176.00 ,120.19 ,332.00 ,144.00 ,28.95 ,37.63 ,53.60 ,0.75 ,
177.00 ,104.83 ,330.00 ,141.00 ,29.61 ,47.02 ,28.21 ,0.88 ,
178.00 ,113.96 ,329.00 ,141.00 ,29.73 ,58.33 ,25.90 ,0.21 ,
179.00 ,109.24 ,329.00 ,141.00 ,29.76 ,58.69 ,20.78 ,0.31 ,
180.00 ,113.40 ,331.00 ,141.00 ,29.13 ,60.85 ,23.42 ,0.48 ,
181.00 ,113.45 ,329.00 ,141.00 ,29.25 ,61.47 ,22.73 ,0.33 ,
182.00 ,111.42 ,329.00 ,141.00 ,29.28 ,56.93 ,25.20 ,0.27 ,
183.00 ,155.39 ,329.00 ,141.00 ,29.40 ,62.69 ,63.30 ,0.48 ,
184.00 ,117.28 ,330.00 ,143.00 ,29.63 ,67.45 ,20.20 ,0.79 ,
185.00 ,145.17 ,329.00 ,142.00 ,29.54 ,62.31 ,53.32 ,0.64 ,
186.00 ,166.13 ,329.00 ,141.00 ,29.35 ,72.47 ,64.31 ,0.77 ,
187.00 ,161.55 ,329.00 ,141.00 ,29.37 ,65.89 ,66.29 ,0.03 ,
188.00 ,124.04 ,328.00 ,141.00 ,30.06 ,73.70 ,20.27 ,0.56 ,
189.00 ,115.05 ,326.00 ,140.00 ,30.28 ,67.04 ,17.73 ,0.12 ,
190.00 ,98.61 ,328.00 ,141.00 ,29.91 ,48.14 ,20.57 ,0.53 ,
191.00 ,100.46 ,328.00 ,140.00 ,29.84 ,50.41 ,20.22 ,0.68 ,
192.00 ,145.02 ,327.00 ,140.00 ,29.88 ,47.05 ,68.09 ,0.21 ,
193.00 ,118.94 ,328.00 ,140.00 ,29.79 ,68.43 ,20.72 ,0.92 ,
194.00 ,106.61 ,329.00 ,141.00 ,29.84 ,58.68 ,18.09 ,0.43 ,
195.00 ,98.86 ,327.00 ,139.00 ,30.12 ,46.18 ,22.56 ,0.46 ,
196.00 ,121.69 ,326.00 ,141.00 ,29.31 ,64.79 ,27.58 ,0.67 ,
197.00 ,101.20 ,325.00 ,140.00 ,29.12 ,50.80 ,21.28 ,0.75 ,
198.00 ,152.15 ,324.00 ,140.00 ,28.92 ,51.47 ,71.76 ,0.93 ,
199.00 ,114.90 ,324.00 ,141.00 ,29.29 ,63.35 ,22.25 ,0.26 ,
200.00 ,145.20 ,325.00 ,141.00 ,28.98 ,62.76 ,53.46 ,0.34 ,
201.00 ,155.71 ,326.00 ,139.00 ,29.04 ,58.45 ,68.22 ,0.43 ,
202.00 ,106.29 ,326.00 ,140.00 ,29.06 ,54.02 ,23.20 ,0.21 ,
203.00 ,103.63 ,325.00 ,138.00 ,29.05 ,47.89 ,26.69 ,0.23 ,
