Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
179.00 ,106.34 ,319.00 ,112.00 ,124.00 ,185.00 ,27.97 ,59.19 ,19.18 ,0.27 
180.00 ,119.55 ,319.00 ,112.00 ,124.00 ,185.00 ,27.99 ,69.18 ,22.37 ,0.25 
181.00 ,110.01 ,318.00 ,113.00 ,125.00 ,184.00 ,27.95 ,59.16 ,22.90 ,0.37 
182.00 ,111.57 ,317.00 ,114.00 ,125.00 ,184.00 ,28.03 ,56.77 ,26.77 ,0.22 
183.00 ,103.18 ,319.00 ,113.00 ,124.00 ,182.00 ,28.00 ,53.27 ,21.91 ,0.35 
184.00 ,106.84 ,319.00 ,114.00 ,124.00 ,183.00 ,27.98 ,59.01 ,19.85 ,0.23 
185.00 ,104.05 ,318.00 ,113.00 ,125.00 ,182.00 ,27.96 ,50.43 ,25.66 ,0.37 
186.00 ,103.76 ,318.00 ,114.00 ,124.00 ,180.00 ,27.96 ,54.46 ,21.35 ,0.19 
187.00 ,104.87 ,318.00 ,113.00 ,124.00 ,181.00 ,27.97 ,54.19 ,22.71 ,0.24 
188.00 ,131.99 ,318.00 ,112.00 ,123.00 ,182.00 ,27.95 ,53.54 ,50.51 ,0.48 
189.00 ,102.84 ,316.00 ,112.00 ,123.00 ,182.00 ,27.93 ,54.26 ,20.65 ,0.18 
190.00 ,105.24 ,317.00 ,111.00 ,123.00 ,181.00 ,27.96 ,58.64 ,18.64 ,0.35 
191.00 ,101.40 ,317.00 ,111.00 ,122.00 ,181.00 ,27.97 ,52.54 ,20.89 ,0.33 
192.00 ,117.91 ,317.00 ,112.00 ,123.00 ,181.00 ,27.97 ,68.15 ,21.79 ,0.34 
193.00 ,95.23 ,314.00 ,112.00 ,123.00 ,182.00 ,27.91 ,50.33 ,16.99 ,0.80 
194.00 ,124.05 ,313.00 ,111.00 ,123.00 ,180.00 ,27.92 ,73.37 ,22.75 ,0.30 
195.00 ,122.25 ,311.00 ,112.00 ,123.00 ,179.00 ,27.89 ,73.76 ,20.61 ,0.37 
196.00 ,121.27 ,313.00 ,110.00 ,121.00 ,181.00 ,27.87 ,66.01 ,27.39 ,0.69 
197.00 ,108.56 ,311.00 ,111.00 ,119.00 ,181.00 ,27.84 ,59.47 ,21.25 ,0.47 
198.00 ,164.08 ,311.00 ,112.00 ,121.00 ,180.00 ,27.82 ,66.05 ,70.20 ,0.49 
199.00 ,103.21 ,309.00 ,112.00 ,120.00 ,181.00 ,27.84 ,52.63 ,22.74 ,0.22 
200.00 ,104.09 ,310.00 ,112.00 ,120.00 ,179.00 ,27.84 ,56.76 ,19.49 ,0.25 
201.00 ,137.43 ,308.00 ,112.00 ,120.00 ,179.00 ,27.86 ,55.71 ,53.86 ,0.62 
202.00 ,102.04 ,307.00 ,112.00 ,121.00 ,180.00 ,27.84 ,53.45 ,20.75 ,0.37 
203.00 ,104.30 ,309.00 ,111.00 ,120.00 ,178.00 ,27.89 ,59.75 ,16.67 ,0.38 
204.00 ,111.64 ,307.00 ,113.00 ,122.00 ,177.00 ,27.86 ,50.18 ,33.60 ,0.29 
205.00 ,113.57 ,308.00 ,112.00 ,121.00 ,176.00 ,27.88 ,61.24 ,24.44 ,0.30 
206.00 ,102.49 ,308.00 ,112.00 ,121.00 ,177.00 ,27.89 ,57.56 ,17.04 ,0.16 
207.00 ,105.71 ,305.00 ,113.00 ,120.00 ,176.00 ,27.88 ,53.06 ,24.78 ,0.49 
208.00 ,130.75 ,306.00 ,113.00 ,119.00 ,176.00 ,27.88 ,52.60 ,50.26 ,0.12 
209.00 ,111.79 ,309.00 ,113.00 ,121.00 ,177.00 ,27.86 ,61.60 ,22.33 ,0.43 
210.00 ,121.20 ,308.00 ,112.00 ,121.00 ,177.00 ,27.85 ,49.24 ,44.11 ,0.16 
211.00 ,112.64 ,305.00 ,113.00 ,124.00 ,177.00 ,27.90 ,61.84 ,22.90 ,0.45 
212.00 ,111.01 ,306.00 ,112.00 ,124.00 ,177.00 ,27.87 ,62.71 ,20.43 ,0.51 
213.00 ,150.29 ,304.00 ,112.00 ,123.00 ,176.00 ,27.85 ,53.75 ,68.69 ,0.34 
214.00 ,114.29 ,305.00 ,113.00 ,126.00 ,175.00 ,27.91 ,66.06 ,20.33 ,0.34 
215.00 ,104.20 ,307.00 ,112.00 ,123.00 ,174.00 ,27.91 ,57.15 ,19.14 ,0.33 
216.00 ,109.57 ,304.00 ,112.00 ,123.00 ,175.00 ,27.99 ,63.70 ,17.88 ,0.50 
217.00 ,140.70 ,305.00 ,113.00 ,123.00 ,173.00 ,27.92 ,57.31 ,55.47 ,0.22 
218.00 ,110.81 ,305.00 ,113.00 ,123.00 ,173.00 ,27.92 ,62.58 ,20.31 ,0.20 
219.00 ,102.34 ,306.00 ,113.00 ,122.00 ,174.00 ,27.93 ,56.92 ,17.49 ,0.53 
220.00 ,96.03 ,305.00 ,113.00 ,123.00 ,173.00 ,27.89 ,46.31 ,21.82 ,0.33 
221.00 ,105.47 ,305.00 ,112.00 ,123.00 ,174.00 ,27.91 ,58.51 ,19.06 ,0.32 
222.00 ,136.72 ,305.00 ,112.00 ,124.00 ,172.00 ,27.95 ,58.11 ,50.66 ,0.35 
223.00 ,94.67 ,304.00 ,112.00 ,124.00 ,172.00 ,27.93 ,44.50 ,22.24 ,0.23 
224.00 ,135.53 ,302.00 ,110.00 ,123.00 ,174.00 ,28.04 ,55.25 ,52.24 ,0.57 
225.00 ,110.59 ,302.00 ,111.00 ,123.00 ,173.00 ,28.04 ,61.51 ,21.04 ,0.13 
226.00 ,96.66 ,303.00 ,110.00 ,124.00 ,174.00 ,28.05 ,47.78 ,20.82 ,0.31 
227.00 ,140.71 ,304.00 ,110.00 ,123.00 ,175.00 ,28.06 ,69.07 ,43.58 ,0.25 
228.00 ,103.33 ,304.00 ,110.00 ,124.00 ,174.00 ,28.13 ,53.47 ,21.72 ,0.31 
229.00 ,148.81 ,303.00 ,110.00 ,122.00 ,175.00 ,28.30 ,65.70 ,54.81 ,0.33 
