Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5490,115.3,89,37,47,47,33,59.4,22.9,0.55,173
5491,122.38,89,38,47,47,32.16,66.39,23.83,0.31,174
5492,126.14,89,38,47,47,32.11,65.35,28.67,0.16,174
5493,160.37,89,38,47,46,32.69,69.9,57.78,0.55,174
5494,136.16,88,38,47,46,32.77,64.8,38.6,0.33,173
5495,124.92,88,38,48,46,32.76,71.05,21.11,0.54,174
5496,122.2,89,38,48,46,32.83,64.58,24.79,0.21,175
5497,119.04,88,38,47,46,32.65,63.06,23.33,0.3,173
5498,146.67,89,38,47,46,32.8,78.98,34.88,0.46,174
5499,116.71,88,38,48,46,32.71,63.71,20.29,0.5,174
5500,156.11,88,37,47,46,32.71,70.88,52.52,0.39,172
5501,115.26,88,37,47,46,32.68,59.09,23.49,0.2,172
5502,126.07,88,37,47,46,32.65,68.15,25.27,0.35,172
5503,128.09,88,38,47,46,32.66,73.19,22.25,0.24,173
5504,123.57,88,38,47,46,32.61,69.06,21.91,0.3,173
5505,127.16,88,38,47,46,32.65,70.6,23.91,0.2,173
5506,114.91,88,37,47,46,32.67,51.07,31.17,0.26,172
5507,164.43,88,37,47,46,32.67,77.37,54.39,0.15,172
5508,133.02,89,37,48,46,33,73.78,26.23,0.78,174
5509,170.03,88,37,48,46,33.47,72.47,64.09,0.19,173
5510,121.39,88,37,47,46,33.69,66.55,21.15,0.7,172
5511,118.02,88,37,47,46,33.65,59.92,24.45,0.32,172
5512,125.06,88,38,47,46,34.22,72.67,18.17,0.27,173
5513,143.67,88,38,47,46,34.01,62.45,47.21,0.34,173
5514,120.13,88,38,47,46,33.88,64.64,21.61,0.59,173
5515,121.03,88,38,47,46,33.9,62.44,24.7,0.16,173
5516,120.24,88,37,47,46,33.8,66.46,19.98,0.4,172
5517,128.49,88,37,47,46,33.8,71.71,22.98,0.12,172
5518,118.82,88,37,47,46,33.8,62.61,22.41,0.17,172
5519,107.4,89,37,47,46,33.83,53.01,20.57,0.27,173
5520,116.23,88,37,47,46,33.95,61.4,20.88,0.39,172
5521,115.6,87,38,47,46,33.81,58.88,22.91,0.41,172
5522,118.02,88,37,47,46,33.87,66.1,18.05,0.6,172
5523,133.33,88,37,47,46,33.82,77.63,21.88,0.2,172
5524,129.17,88,37,47,46,33.97,69.84,25.36,0.37,172
5525,138.3,87,37,47,46,33.9,77.04,27.36,0.49,171
5526,140.07,88,37,47,46,34.05,79.7,26.32,0.24,172
5527,110.22,88,37,47,46,33.95,53.33,22.94,0.58,172
