Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
2706,111.58,154,62,29.86,56.52,25.2,0.87
2707,119.94,154,62,29.87,62.99,27.08,0.2
2708,121.85,153,62,29.84,63.31,28.69,0.28
2709,128.77,155,62,29.88,71.51,27.38,0.49
2710,122.58,153,61,29.98,64.65,27.95,0.7
2711,116.41,154,61,29.98,63.25,23.18,0.32
2712,168.09,155,61,29.85,66.16,72.09,0.42
2713,131.51,154,61,29.85,69.88,31.78,0.78
2714,118.23,155,61,29.86,64.53,23.84,0.78
2715,125.11,154,61,30.16,69.37,25.58,0.64
2716,106.31,154,61,29.88,53.79,22.64,0.3
2717,121.13,153,61,29.9,65.46,25.77,0.5
2718,171.68,153,61,29.88,64.95,76.85,0.07
2719,127.8,153,60,29.87,72.58,25.34,1
2720,145.92,153,60,29.89,58.18,57.86,0.24
2721,124.22,151,60,29.9,68.14,26.18,0.4
2722,161.1,153,60,29.94,62.09,69.07,1
2723,131.28,152,60,29.71,74.47,27.11,0.69
2724,123.74,152,61,29.87,70.07,23.8,0.33
2725,162.67,153,61,29.88,75.29,57.51,0.38
2726,175.07,153,60,29.86,68.45,76.76,0.13
2727,116.13,152,61,29.79,60.04,26.29,0.78
2728,104.18,152,60,29.66,50.84,23.68,0.42
2729,169.53,152,60,29.66,72.13,67.75,0.37
2730,172.79,152,61,29.91,70.67,72.21,0.54
2731,142.7,153,61,29.89,52.9,59.91,0.38
2732,107.31,152,61,29.91,55.08,22.33,0.72
2733,108.72,151,61,29.89,55.74,23.09,0.35
2734,142.39,151,61,29.67,56.05,56.67,0.85
2735,111.06,152,61,29.87,57.03,24.16,0.34
2736,128.19,150,61,29.89,66.03,32.27,0.52
2737,129.71,153,61,29.92,68.97,30.83,0.98
2738,120.91,152,61,30.08,60.67,30.16,0.21
2739,155.39,152,61,30.37,67.01,58,0.45
2740,189.39,152,61,30.39,81.11,77.89,0.2
2741,128.16,151,61,30.39,72.58,25.19,0.34
2742,180.04,150,61,30.08,73.96,76,0.58
2743,122.1,150,62,30.39,61.36,30.35,0.81
2744,126.33,151,62,30.35,69.45,26.53,0.3
2745,157.65,150,61,30.36,66.2,61.08,0.5
2746,130.47,150,61,30.4,70.93,29.14,0.64
2747,167.63,150,61,30.36,65.59,71.69,0.38
2748,120.83,150,61,30.38,64.64,25.82,1
2749,127.44,150,61,30.34,70.3,26.81,0.18
2750,122.11,150,61,30.39,68.76,22.96,0.14
2751,126.03,148,61,30.68,70.91,24.44,0.93
2752,112.58,149,61,30.46,58.02,24.09,0.53
2753,172.78,149,60,30.64,74.25,67.89,0.61
2754,164.5,149,61,30.66,62.42,71.42,0.1
2755,121.17,149,60,30.67,66.56,23.94,0.19
2756,131.35,149,60,30.38,74.81,26.16,0.16
2757,143.14,151,60,30.15,57.74,55.24,0.65
2758,122.23,149,61,30.19,59.7,32.34,0.9
2759,123.4,149,61,30.27,68.95,24.18,0.57
2760,128.09,149,61,30.31,68.6,29.18,1
2761,166.35,149,61,30.04,79.82,56.48,0.62
2762,115.58,149,61,30.04,61,24.54,0.49
2763,126.6,149,61,30.03,64.61,31.96,0.65
2764,106.37,149,61,30.57,42.4,33.39,0.34
2765,114,149,61,30.4,60.07,23.53,0.26
2766,116.91,149,61,30.04,63.28,23.58,0.41
2767,131.89,149,61,30.03,78.38,23.48,0.1
2768,128.3,149,61,30.32,72.67,25.31,0.45
2769,123.92,149,61,30.43,65.87,27.62,0.35
2770,180.81,149,61,30.44,76.15,74.22,0.14
2771,164.69,149,61,30.44,62.31,71.94,0.09
2772,149.44,149,61,30.43,61.63,57.38,0.57
2773,124.35,149,61,30.43,71.92,22.01,0.16
2774,119.25,148,62,30.28,62.42,26.54,0.83
2775,120.29,148,61,30.3,65.24,24.75,0.16
2776,124.76,148,61,30.3,72.98,21.49,0.59
2777,124.4,148,61,30.3,68.14,25.95,0.04
2778,114.55,149,61,30.04,60.98,23.53,0.39
2779,129.64,149,62,29.97,70.73,28.94,0.65
2780,129.08,149,61,29.96,69.34,29.77,0.47
2781,120.29,149,62,30.04,61.33,28.93,0.9
2782,111.29,149,62,29.99,55.34,25.96,0.2
2783,165.01,149,62,30.03,73.96,61.02,0.05
2784,151.17,149,62,30.06,69.45,51.66,0.2
2785,166.58,150,62,30.01,65.72,70.85,0.28
2786,113.89,149,62,30.02,57.4,26.47,0.45
2787,117.24,149,62,30.02,63.82,23.39,0.36
2788,118.8,149,62,29.93,65.83,23.04,0.44
2789,112.24,148,62,30.15,57.68,24.41,0.81
2790,119.54,148,62,29.96,58.46,31.12,0.48
2791,116.57,148,62,30.13,60.51,25.93,0.7
2792,123.59,148,61,30.12,69.85,23.61,0.26
2793,117.43,148,63,30.13,63.39,23.91,0.87
2794,116.55,149,63,30.01,64.53,22.01,0.66
2795,104.75,149,63,29.88,47.48,27.39,0.43
2796,118.79,149,63,29.91,64.11,24.76,0.31
2797,112.29,148,63,30.03,55.75,26.5,0.19
2798,149.77,148,62,30.8,65.12,53.85,0.66
