Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
173.00 ,115.23 ,322.00 ,117.00 ,126.00 ,194.00 ,27.83 ,64.86 ,22.54 ,0.25 ,
174.00 ,142.57 ,321.00 ,118.00 ,124.00 ,192.00 ,27.96 ,51.72 ,62.89 ,0.61 ,
175.00 ,160.82 ,319.00 ,118.00 ,124.00 ,192.00 ,27.93 ,71.19 ,61.70 ,0.20 ,
176.00 ,102.46 ,320.00 ,117.00 ,125.00 ,192.00 ,28.02 ,53.56 ,20.88 ,0.21 ,
177.00 ,105.74 ,321.00 ,117.00 ,124.00 ,193.00 ,27.99 ,56.86 ,20.89 ,0.16 ,
178.00 ,112.94 ,320.00 ,117.00 ,124.00 ,192.00 ,28.01 ,58.85 ,26.08 ,0.06 ,
179.00 ,147.92 ,321.00 ,116.00 ,123.00 ,193.00 ,28.10 ,62.55 ,57.26 ,0.45 ,
180.00 ,134.89 ,316.00 ,116.00 ,122.00 ,192.00 ,28.43 ,58.54 ,47.92 ,0.49 ,
181.00 ,111.51 ,316.00 ,117.00 ,123.00 ,192.00 ,28.43 ,62.22 ,20.86 ,0.24 ,
182.00 ,153.48 ,316.00 ,116.00 ,123.00 ,192.00 ,28.14 ,66.00 ,59.35 ,0.38 ,
183.00 ,153.55 ,316.00 ,117.00 ,123.00 ,193.00 ,28.15 ,59.79 ,65.61 ,0.28 ,
184.00 ,121.39 ,314.00 ,117.00 ,122.00 ,192.00 ,28.15 ,69.54 ,23.69 ,0.24 ,
185.00 ,106.80 ,317.00 ,117.00 ,123.00 ,190.00 ,28.35 ,59.40 ,19.04 ,0.53 ,
186.00 ,112.28 ,315.00 ,117.00 ,123.00 ,191.00 ,28.11 ,60.76 ,23.41 ,0.29 ,
187.00 ,160.41 ,314.00 ,117.00 ,122.00 ,190.00 ,28.36 ,63.21 ,68.85 ,0.23 ,
188.00 ,105.94 ,314.00 ,116.00 ,123.00 ,190.00 ,28.35 ,53.34 ,24.25 ,0.40 ,
189.00 ,103.20 ,314.00 ,116.00 ,122.00 ,193.00 ,28.09 ,54.79 ,20.32 ,0.42 ,
190.00 ,114.21 ,314.00 ,116.00 ,122.00 ,193.00 ,27.93 ,63.40 ,22.88 ,0.36 ,
191.00 ,145.23 ,314.00 ,115.00 ,122.00 ,194.00 ,27.97 ,63.25 ,54.01 ,0.36 ,
192.00 ,94.55 ,313.00 ,115.00 ,122.00 ,194.00 ,27.98 ,45.62 ,20.94 ,0.32 ,
193.00 ,109.23 ,313.00 ,115.00 ,121.00 ,193.00 ,27.97 ,62.96 ,18.30 ,0.07 ,
